C60 (NoA=120) A1-5b6b5b6b5b6b5b6b5b6c5b6b5b6b5b6b5b6b5b6f5b
C70 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6l5b6b5b6b5b6b5b6b5b6b5b
C80 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6m5b6b5b6b5b6b5b6b5b6f5b
C90 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6v5b6b5b6b5b6b5b6b5b6b5b
C100 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6w5b6b5b6b5b6b5b6b5b6f5b
C110 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bf5b6b5b6b5b6b5b6b5b6b5b
C120 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bg5b6b5b6b5b6b5b6b5b6f5b
C130 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bp5b6b5b6b5b6b5b6b5b6b5b
C140 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bq5b6b5b6b5b6b5b6b5b6f5b
C150 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bz5b6b5b6b5b6b5b6b5b6b5b
C160 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6ca5b6b5b6b5b6b5b6b5b6f5b
C170 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6cj5b6b5b6b5b6b5b6b5b6b5b
C180 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6ck5b6b5b6b5b6b5b6b5b6f5b
C190 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6ct5b6b5b6b5b6b5b6b5b6b5b
C200 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6cu5b6b5b6b5b6b5b6b5b6f5b
C78 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6f5b6c5b6h5b6b5b6b5c6b
C78 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6g5b6f5c6b5b6b5b6c5b6c
C96 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6p5b6c5b6c5b6e5b6b5b6b5b6b
C96 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6r5b6e5b6b5b6b5b6b5b6b5b6b
C114 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6z5b6c5b6d5b6c5b6b5b6b5b6b
C114 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6ba5b6c5b6b5b6c5b6b5b6b5b6c
C132 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6bi5b6c5b6c5b6d5b6b5b6b5b6b
C132 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6bj5b6c5b6d5c6b5b6b5b6c
C150 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6br5b6c5b6c5b6d5b6b5b6b5b6b
C150 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6bt5b6c5b6c5b6b5b6b5b6b5b6b
C168 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6ca5b6c5b6c5b6d5b6b5b6b5b6b
C168 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6cb5b6c5b6c5b6b5b6b5b6b5b6c
C186 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6cj5b6c5b6c5b6d5b6b5b6b5b6b
C186 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6ck5b6c5b6c5b6b5b6b5b6b5b6c
C72 (NoA=24) A1-5b6b5b6b5b6b5b6g5b6b5b6b5b6c5b6g5b6b5b6b5b
C80 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6e5b6d5b6c5b6b5b6b5b6f5b
C76 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6f5b6b5b6e5b6b5b6b5c6c
C92 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6l5b6b5b6c5b6g5b6b5c6b
C88 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6m5b6b5b6c5b6b5b6b5b6b5b6c
C104 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6n5b6k5b6c5c6c5b6b5b
C100 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6o5b6e5b6b5b6b5b6b5b6f5b
C96 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6p5b6c5b6d5b6b5b6b5b6b5b6b
C112 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6v5b6b5b6c5b6g5b6b5c6b
C108 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6w5b6b5b6c5b6c5c6b5b6c
C124 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6x5b6k5b6c5c6c5b6b5b
C120 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6y5b6f5c6b5b6b5b6f5b
C116 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6z5b6d5b6c5b6b5b6b5b6b5b6b
C132 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bf5b6b5b6c5b6g5b6b5c6b
C128 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bg5b6b5b6c5b6c5c6b5b6c
C144 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bh5b6k5b6c5c6c5b6b5b
C140 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bi5b6f5c6b5b6b5b6f5b
C136 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bj5b6d5b6c5b6b5b6b5b6b5b6b
C152 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bp5b6b5b6c5b6g5b6b5c6b
C148 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bq5b6b5b6c5b6c5c6b5b6c
C164 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6br5b6k5b6c5c6c5b6b5b
C160 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bs5b6f5c6b5b6b5b6f5b
C156 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bt5b6d5b6c5b6b5b6b5b6b5b6b
C172 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6bz5b6b5b6c5b6g5b6b5c6b
C168 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6ca5b6b5b6c5b6c5c6b5b6c
C184 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6cb5b6k5b6c5c6c5b6b5b
C180 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6cc5b6f5c6b5b6b5b6f5b
C176 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6cd5b6d5b6c5b6b5b6b5b6b5b6b
C192 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6cj5b6b5b6c5b6g5b6b5c6b
C188 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6ck5b6b5b6c5b6c5c6b5b6c
C200 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6cm5b6f5c6b5b6b5b6f5b
C196 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6cn5b6d5b6c5b6b5b6b5b6b5b6b
C84 (NoA=4) A1-5b6b5b6b5b6b5b6i5b6e5b6i5b6b5b6b5b6b5c6b
C82 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6b5b6c5b6b5b6b5b6d5b6f5b
C78 (NoA=4) A1-5b6b5b6b5b6b5b6k5b6c5c6b5b6f5b6c5c6b
C82 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6c5b6b5b6b5b6b5b6c5b6g5b
C90 (NoA=4) A1-5b6b5b6b5b6b5b6k5b6c5b6k5b6b5b6b5b6b5b6c5b
C86 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6d5b6d5b6e5b6b5b6b5b6b5b6c
C88 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6e5b6b5b6e5b6b5b6e5b6c5b
C92 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6e5b6b5b6f5b6e5b6b5b6b5b6c
C86 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6e5b6c5c6d5b6d5b6b5b6c
C100 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6e5b6i5b6h5b6b5b6b5c6b
C84 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6f5b6b5b6d5b6c5b6c5b6b5b
C92 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6f5b6g5b6c5b6b5b6b5b6b5b6c
C94 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6g5b6b5b6e5b6g5b6b5b6b5b
C94 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6g5b6g5c6e5b6b5b6c5b
C98 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6g5b6g5b6b5b6c5b6b5b6f5b
C90 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6h5b6e5b6b5b6b5b6c5b6c5b
C98 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6h5b6h5b6b5c6b5b6f5b
C96 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6l5b6c5b6b5b6b5b6d5b6b5b6b
C96 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6m5b6b5b6b5b6b5b6c5b6c5b6b
C104 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6m5b6c5b6b5b6b5b6d5b6f5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6n5c6b5b6f5b6c5c6b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6n5b6b5b6b5b6b5b6c5b6g5b
C112 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6n5b6k5b6b5b6b5b6b5b6c5b
C108 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6o5b6d5b6e5b6b5b6b5b6b5b6c
C110 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6p5b6b5b6d5b6c5b6f5b6b5b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6p5b6b5b6e5b6b5b6e5b6c5b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6p5b6b5b6f5b6e5b6b5b6b5b6c
C108 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6p5b6c5c6d5b6d5b6b5b6c
C122 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6p5b6i5b6h5b6b5b6b5c6b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6q5b6b5c6b5b6b5b6c5b6c
C102 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6q5b6b5b6b5b6c5b6c5c6b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6q5b6b5b6d5b6c5b6c5b6b5b
C114 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6q5b6g5b6c5b6b5b6b5b6b5b6c
C116 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6r5b6b5b6e5b6g5b6b5b6b5b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6r5b6g5c6e5b6b5b6c5b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6r5b6g5b6b5b6c5b6b5b6f5b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6s5b6e5b6b5b6b5b6c5b6c5b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6s5b6h5b6b5c6b5b6f5b
C118 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6w5b6c5b6b5b6b5b6d5b6b5b6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6x5b6b5b6b5b6b5b6c5b6c5b6b
C126 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6x5b6c5b6b5b6b5b6d5b6f5b
C122 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6y5c6b5b6f5b6c5c6b
C126 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6y5b6b5b6b5b6b5b6c5b6g5b
C134 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6y5b6k5b6b5b6b5b6b5b6c5b
C130 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6z5b6d5b6e5b6b5b6b5b6b5b6c
C132 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6ba5b6b5b6d5b6c5b6f5b6b5b
C132 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6ba5b6b5b6e5b6b5b6e5b6c5b
C136 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6ba5b6b5b6f5b6e5b6b5b6b5b6c
C130 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6ba5b6c5c6d5b6d5b6b5b6c
C144 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6ba5b6i5b6h5b6b5b6b5c6b
C124 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bb5b6b5c6b5b6b5b6c5b6c
C124 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bb5b6b5b6b5b6c5b6c5c6b
C128 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bb5b6b5b6d5b6c5b6c5b6b5b
C136 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bb5b6g5b6c5b6b5b6b5b6b5b6c
C138 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bc5b6b5b6e5b6g5b6b5b6b5b
C138 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bc5b6g5c6e5b6b5b6c5b
C142 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bc5b6g5b6b5b6c5b6b5b6f5b
C134 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bd5b6e5b6b5b6b5b6c5b6c5b
C142 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bd5b6h5b6b5c6b5b6f5b
C140 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bh5b6c5b6b5b6b5b6d5b6b5b6b
C140 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bi5b6b5b6b5b6b5b6c5b6c5b6b
C148 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bi5b6c5b6b5b6b5b6d5b6f5b
C144 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bj5c6b5b6f5b6c5c6b
C148 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bj5b6b5b6b5b6b5b6c5b6g5b
C156 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bj5b6k5b6b5b6b5b6b5b6c5b
C152 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bk5b6d5b6e5b6b5b6b5b6b5b6c
C154 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bl5b6b5b6d5b6c5b6f5b6b5b
C154 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bl5b6b5b6e5b6b5b6e5b6c5b
C158 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bl5b6b5b6f5b6e5b6b5b6b5b6c
C152 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bl5b6c5c6d5b6d5b6b5b6c
C166 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bl5b6i5b6h5b6b5b6b5c6b
C146 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bm5b6b5c6b5b6b5b6c5b6c
C146 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bm5b6b5b6b5b6c5b6c5c6b
C150 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bm5b6b5b6d5b6c5b6c5b6b5b
C158 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bm5b6g5b6c5b6b5b6b5b6b5b6c
C160 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bn5b6b5b6e5b6g5b6b5b6b5b
C160 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bn5b6g5c6e5b6b5b6c5b
C164 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bn5b6g5b6b5b6c5b6b5b6f5b
C156 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6bo5b6e5b6b5b6b5b6c5b6c5b
C164 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6bo5b6h5b6b5c6b5b6f5b
